Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Friday, March 1, 2024 7:00 AM CET",1009,1010,19.9,44,10.3,62,3.3,---,10.3,10.3,318,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Friday, March 1, 2024 7:05 AM CET",1009,1010,19.9,44,10.3,62,3.3,---,10.3,10.3,190,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Friday, March 1, 2024 7:10 AM CET",1009,1010,19.9,44,10.2,62,3.2,---,10.2,10.2,0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Friday, March 1, 2024 7:15 AM CET",1009,1010,19.9,44,10.2,61,3.0,---,10.2,10.2,174,0.0,0.0,0.0,0.0,0.0,0.8,0.0,149,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Friday, March 1, 2024 7:20 AM CET",1009,1010,20.0,44,10.3,60,2.9,---,10.3,10.3,224,0.0,0.0,0.0,0.0,0.0,0.8,0.0,259,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Friday, March 1, 2024 7:25 AM CET",1009,1010,20.1,44,10.3,59,2.6,---,10.3,10.3,60,0.0,0.0,0.0,0.0,0.0,0.8,0.0,490,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Friday, March 1, 2024 7:30 AM CET",1009,1010,20.2,44,10.3,59,2.6,---,10.3,10.3,6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,729,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Friday, March 1, 2024 7:35 AM CET",1009,1010,20.4,43,10.4,58,2.5,---,10.4,10.4,36,2.9,2.9,2.9,0.0,0.0,0.8,0.0,1100,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Friday, March 1, 2024 7:40 AM CET",1010,1010,20.5,43,10.4,59,2.7,---,10.4,10.4,30,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1439,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
