Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Wednesday, May 1, 2024 6:00 AM CEST",1006,1007,23.1,55,13.7,90,12.1,---,13.7,13.7,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:05 AM CEST",1006,1006,23.0,55,13.7,90,12.1,---,13.7,13.7,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:10 AM CEST",1006,1007,22.9,55,13.7,90,12.1,---,13.7,13.7,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:15 AM CEST",1006,1007,22.8,55,13.7,90,12.1,---,13.7,13.7,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:20 AM CEST",1006,1006,22.7,55,13.6,90,12.0,---,13.6,13.6,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:25 AM CEST",1005,1006,22.5,56,13.6,90,12.0,---,13.6,13.6,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:30 AM CEST",1005,1006,22.5,56,13.6,90,12.0,---,13.6,13.6,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:35 AM CEST",1006,1007,22.4,56,13.6,90,12.0,---,13.6,13.6,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:40 AM CEST",1006,1006,22.3,56,13.6,90,12.0,---,13.6,13.6,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:45 AM CEST",1006,1007,22.3,56,13.6,90,12.0,---,13.6,13.6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Wednesday, May 1, 2024 6:50 AM CEST",1006,1007,22.2,56,13.6,90,12.0,---,13.6,13.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
