Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Saturday, June 1, 2024 6:00 AM CEST",1014,1011,25.6,56,18.5,85,15.9,---,18.5,18.5,181,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:05 AM CEST",1014,1011,25.5,56,18.5,84,15.7,---,18.5,18.5,228,0.0,0.0,0.0,0.0,0.0,0.5,0.0,80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:10 AM CEST",1014,1011,25.4,56,18.5,85,15.9,---,18.5,18.5,264,0.0,0.0,0.0,0.0,0.0,0.5,0.0,170,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:15 AM CEST",1014,1011,25.3,56,18.4,84,15.7,---,18.4,18.4,226,0.0,0.0,0.0,0.0,0.0,0.5,0.0,259,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:20 AM CEST",1014,1011,25.3,56,18.4,83,15.5,---,18.4,18.4,250,0.0,0.0,0.0,0.0,0.0,0.5,0.0,390,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:25 AM CEST",1014,1011,25.2,56,18.4,83,15.5,---,18.4,18.4,226,0.0,0.0,0.0,0.0,0.0,0.5,0.0,539,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:30 AM CEST",1014,1011,25.1,56,18.4,83,15.5,---,18.4,18.4,302,0.0,0.0,0.0,0.0,0.0,0.5,0.0,700,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:35 AM CEST",1014,1011,25.1,57,18.4,83,15.5,---,18.4,18.4,239,0.0,0.0,0.0,0.0,0.0,0.5,0.0,880,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:40 AM CEST",1015,1011,25.0,57,18.3,84,15.6,---,18.3,18.3,290,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1119,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:45 AM CEST",1015,1011,24.9,57,18.3,82,15.2,---,18.3,18.3,77,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1370,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Saturday, June 1, 2024 6:50 AM CEST",1015,1011,24.9,57,18.4,81,15.1,---,18.4,18.4,24,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1519,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
