Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Monday, July 1, 2024 6:00 AM CEST",1014,1010,24.9,60,22.8,77,18.6,---,22.8,22.8,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, July 1, 2024 6:05 AM CEST",1014,1010,24.9,60,22.8,77,18.6,---,22.8,22.8,295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, July 1, 2024 6:10 AM CEST",1013,1010,25.0,60,22.8,78,18.8,---,22.8,22.8,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, July 1, 2024 6:15 AM CEST",1013,1010,25.0,61,22.8,78,18.8,---,22.8,22.8,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, July 1, 2024 6:20 AM CEST",1013,1010,25.0,61,22.8,78,18.8,---,22.8,22.8,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, July 1, 2024 6:25 AM CEST",1013,1010,25.0,61,22.7,78,18.7,---,22.7,22.7,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, July 1, 2024 6:30 AM CEST",1013,1010,25.0,61,22.7,77,18.5,---,22.7,22.7,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, July 1, 2024 6:35 AM CEST",1013,1010,25.0,61,22.6,76,18.2,---,22.6,22.6,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Monday, July 1, 2024 6:40 AM CEST",1013,1010,25.0,62,22.6,73,17.5,---,22.6,22.6,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
