Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH2 temperature,CH2 humidity,CH3 temperature,CH3 humidity,CH4 temperature,CH4 humidity,CH5 temperature,CH5 humidity,CH6 temperature,CH6 humidity,CH7 temperature,CH7 humidity,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO,CO Sensor battery,PM2.5,PM10,PM sensor battery,PM sensor connect,PM 2.5 AQI,PM 10 AQI,HCHO,VOC LEVEL,HCHO+VOC Sensor battery,CO2,CO2 Sensor Battery
,hPa,hPa,°C,%,°C,%,°C,°C,°C,°C,deg,km/h,km/h,km/h,mm,mm,mm,**,Lux,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,°C,%,km,**,**,**,**,**,**,**,**,**,**,**,**,ppm,**,µg/m³,µg/m³,**,**,**,**,ppb,**,**,ppm,**
"Thursday, August 1, 2024 6:00 AM CEST",1011,1008,25.2,55,26.7,56,17.2,27.5,26.7,27.5,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:05 AM CEST",1011,1008,25.2,55,26.7,56,17.2,27.5,26.7,27.5,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:10 AM CEST",1011,1008,25.1,55,26.7,56,17.2,27.5,26.7,27.5,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:15 AM CEST",1011,1008,25.2,55,26.7,55,16.9,27.4,26.7,27.4,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:20 AM CEST",1011,1008,25.2,56,26.7,55,16.9,27.4,26.7,27.4,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:25 AM CEST",1011,1008,25.3,56,26.7,56,17.2,27.5,26.7,27.5,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:30 AM CEST",1012,1008,25.3,56,26.7,57,17.5,27.5,26.7,27.5,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:35 AM CEST",1012,1008,25.3,56,26.7,57,17.5,27.5,26.7,27.5,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:40 AM CEST",1012,1008,25.3,56,26.7,57,17.5,27.5,26.7,27.5,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:45 AM CEST",1012,1008,25.3,56,26.7,58,17.8,27.6,26.7,27.6,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:50 AM CEST",1012,1008,25.2,56,26.7,58,17.8,27.6,26.7,27.6,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 6:55 AM CEST",1012,1008,25.1,55,26.7,60,18.3,27.7,26.7,27.7,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:00 AM CEST",1012,1008,25.1,55,26.8,62,18.9,28.0,26.8,28.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
"Thursday, August 1, 2024 7:05 AM CEST",1012,1008,25.2,56,26.8,65,19.7,28.2,26.8,28.2,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
